uid,E_votes_3,E_votes_num,E_votes_mean,E_votes_2,E_votes_std,E_votes_1,E_votes_4,E_likes_mean,E_likes_sum,E_likes_num,E_likes_std,E_dislikes_std,E_dislikes_sum,E_dislikes_num,E_dislikes_mean,E_com_num,E_com_std,E_com_sum,E_com_mean,E_target,E_comid,G_interactions_degree,G_interactions_w_degree,G_interactions_degree_u,G_interactions_w_degree_u,G_interactions_betweenness_centrality,G_interactions_w_betweenness_centrality,G_interactions_betweenness_centrality_u,G_interactions_w_betweenness_centrality_u,G_interactions_NMF1_d,G_interactions_NMF1_u,G_interactions_NMF2_d,G_interactions_NMF2_u,G_rel_agree_degree,G_rel_agree_w_degree,G_rel_agree_degree_u,G_rel_agree_w_degree_u,G_rel_agree_betweenness_centrality,G_rel_agree_w_betweenness_centrality,G_rel_agree_betweenness_centrality_u,G_rel_agree_w_betweenness_centrality_u,G_rel_agree_NMF1_d,G_rel_agree_NMF1_u,G_rel_agree_NMF2_d,G_rel_agree_NMF2_u,votes_3,votes_num,votes_mean,votes_2,votes_std,votes_1,votes_4,likes_mean,likes_sum,likes_num,likes_std,dislikes_std,dislikes_sum,dislikes_num,dislikes_mean,com_num,com_std,com_sum,com_mean,CE_votes_3,CE_votes_num,CE_votes_mean,CE_votes_2,CE_votes_std,CE_votes_1,CE_votes_4,CE_likes_mean,CE_likes_sum,CE_likes_num,CE_likes_std,CE_dislikes_std,CE_dislikes_sum,CE_dislikes_num,CE_dislikes_mean,CE_com_num,CE_com_std,CE_com_sum,CE_com_mean,CE_comid,CEG_interactions_degree,CEG_interactions_w_degree,CEG_interactions_degree_u,CEG_interactions_w_degree_u,CEG_interactions_betweenness_centrality,CEG_interactions_w_betweenness_centrality,CEG_interactions_betweenness_centrality_u,CEG_interactions_w_betweenness_centrality_u,CEG_interactions_NMF1_d,CEG_interactions_NMF1_u,CEG_interactions_NMF2_d,CEG_interactions_NMF2_u,CEG_rel_agree_degree,CEG_rel_agree_w_degree,CEG_rel_agree_degree_u,CEG_rel_agree_w_degree_u,CEG_rel_agree_betweenness_centrality,CEG_rel_agree_w_betweenness_centrality,CEG_rel_agree_betweenness_centrality_u,CEG_rel_agree_w_betweenness_centrality_u,CEG_rel_agree_NMF1_d,CEG_rel_agree_NMF1_u,CEG_rel_agree_NMF2_d,CEG_rel_agree_NMF2_u,uid
11_272,0,61,4.0,0,0.0,0,61,9.75,117.0,12.0,2.2207697273283835,1.5447859516333116,21.0,12.0,1.75,12.0,33.425176502786414,542.0,45.16666666666666,1,11,0.5333333333333333,0.09863614223088164,0.6143790849673203,0.10469314079422384,0.13345175351510938,0.2967595225426598,0.1717915234203461,0.4583061167669805,0.0,0.0,0.0,0.0,0.5333333333333333,0.4102470164586064,0.6143790849673203,0.5059488311142891,0.13345175351510938,0.01090622999169735,0.1717915234203461,2.121848737508857e-05,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,0,61,4.0,0,0.0,0,61,9.75,117.0,12.0,2.2207697273283835,1.5447859516333116,21.0,12.0,1.75,12.0,33.425176502786414,542.0,45.16666666666666,11,0.5333333333333333,0.1942446043165468,0.6143790849673203,0.2117737003058104,0.13345175351510946,0.2967595225426597,0.1717915234203461,0.37649127123123854,0.4574680389585226,0.2923511821474296,2.8369652869036344,0.16391619064805932,0.5333333333333333,0.4102470164586064,0.6143790849673203,0.5222490149965637,0.13345175351510946,0.011720130780451784,0.1717915234203461,1.3215078093294848e-07,0.28477642173579376,0.34377459588511633,0.4653097383431362,0.2492309418760683,11_272
11_273,14,66,3.7575757575757582,1,0.4661002223228571,0,51,6.483870967741934,402.0,62.0,4.132009932398323,1.4580326929413756,50.0,62.0,0.8064516129032258,62.0,84.71014597618274,4853.0,78.2741935483871,1,11,0.4,0.11958110082805652,0.5032679738562091,0.18531889290012032,0.06484089457486356,0.16804155255601536,0.08084980034918343,0.15456506079210194,0.0,0.0,0.0,0.0,0.4,0.4230746381678255,0.5032679738562091,0.5397805460100479,0.06484089457486356,2.5175502125760022e-11,0.08084980034918343,2.8337386579087387e-11,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,14,66,3.7575757575757582,1,0.4661002223228571,0,51,6.483870967741934,402.0,62.0,4.132009932398323,1.4580326929413756,50.0,62.0,0.8064516129032258,62.0,84.71014597618274,4853.0,78.2741935483871,11,0.4,0.2354916067146283,0.5032679738562091,0.3532110091743119,0.06484089457486353,0.16804155255601538,0.08084980034918345,0.15337341764565904,0.07875069138307493,0.0,0.5507228189028424,0.0,0.4,0.4230746381678255,0.5032679738562091,0.5404320013254842,0.06484089457486353,2.431434797768501e-11,0.08084980034918345,3.9177937000339433e-08,0.0740668903766674,0.0,0.6554395602713384,0.0,11_273
11_334,0,45,4.0,0,0.0,0,45,6.655172413793102,193.0,29.0,2.7291529568840516,1.0907131485472212,22.0,29.0,0.7586206896551724,29.0,44.66732531436057,2471.0,85.20689655172414,0,11,0.275,0.05918168533852897,0.3594771241830065,0.08463698355395106,0.010968166131000571,0.10194851181143544,0.03490722282684912,0.24664431554619684,0.0,0.0,0.0,0.0,0.275,0.2638334454604852,0.3594771241830065,0.3513416230128515,0.010968166131000571,0.00015224430336820927,0.03490722282684912,4.104522741884532e-08,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,0,45,4.0,0,0.0,0,45,6.655172413793102,193.0,29.0,2.7291529568840516,1.0907131485472212,22.0,29.0,0.7586206896551724,29.0,44.66732531436057,2471.0,85.20689655172414,11,0.275,0.11654676258992805,0.3594771241830065,0.1559633027522936,0.010968166131000566,0.1019485118114354,0.034907222826849105,0.2494411820554268,0.16600710075303407,0.7678422847496108,0.18476942105547586,0.7569296662654731,0.275,0.2638334454604852,0.3594771241830065,0.3528216814824605,0.010968166131000566,0.00011272793283854628,0.034907222826849105,4.2025507357129476e-09,0.07325942666121213,0.19317676473385206,0.2420340147397019,0.5785880613802532,11_334
11_254,11,32,3.28125,6,0.7718588789618592,0,15,10.111111111111107,182.0,18.0,5.465279594471964,3.4508689821588625,80.0,18.0,4.4444444444444455,18.0,100.3249133331005,2559.0,142.16666666666666,1,11,0.37916666666666665,0.07087189478811495,0.4967320261437909,0.10028078620136384,0.03599611589112267,0.1299774212320291,0.0772132620427273,0.17672490405594865,0.0,0.0,0.0,0.0,0.37916666666666665,0.3704180915149001,0.4967320261437909,0.4858655656316405,0.03599611589112267,6.169799399660622e-10,0.0772132620427273,1.4598604198569674e-10,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,11,32,3.28125,6,0.7718588789618592,0,15,10.111111111111107,182.0,18.0,5.465279594471964,3.4508689821588625,80.0,18.0,4.4444444444444455,18.0,100.3249133331005,2559.0,142.16666666666666,11,0.37916666666666665,0.13956834532374102,0.4967320261437909,0.18730886850152906,0.035996115891122664,0.12997742123202907,0.0772132620427273,0.19097730938851706,0.11039074525456054,0.06539924528450393,0.20979442192709466,0.15032826726794546,0.37916666666666665,0.3704180915149001,0.4967320261437909,0.4892680263567967,0.035996115891122664,7.910916716786497e-10,0.0772132620427273,0.00039548751826681843,0.1682619947108046,0.03848901138853525,0.4274046369216381,0.2228780768272846,11_254
11_216,89,146,3.232876712328767,7,0.6329034996488307,3,47,7.416666666666668,89.0,12.0,5.035480176314927,1.1645001528813148,13.0,12.0,1.0833333333333333,12.0,56.766400647075045,1028.0,85.66666666666667,1,11,0.3666666666666665,0.04870920603994155,0.4313725490196079,0.0573606097071801,0.02571273332887446,0.10353413420978863,0.047478090901275034,0.20015837147308868,0.0,0.0,0.0,0.0,0.3666666666666665,0.3852420655666368,0.4313725490196079,0.4756945429276456,0.02571273332887446,0.006357458684956607,0.047478090901275034,1.809793816016081e-10,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,89,146,3.232876712328767,7,0.6329034996488307,3,47,7.416666666666668,89.0,12.0,5.035480176314927,1.1645001528813148,13.0,12.0,1.0833333333333333,12.0,56.766400647075045,1028.0,85.66666666666667,11,0.3666666666666665,0.09592326139088728,0.4313725490196079,0.10856269113149848,0.02571273332887446,0.10353413420978863,0.047478090901275034,0.1807036393859868,0.7136622931565932,0.7421232333494466,0.17460534459846305,0.12287190114754253,0.3666666666666665,0.3852420655666368,0.4313725490196079,0.4718333356997828,0.02571273332887446,0.005626120636794418,0.047478090901275034,1.0745713929453986e-09,0.6200661219486887,0.6985272176121635,0.35696776628959,0.2554388202279411,11_216
11_255,1,46,3.978260869565217,0,0.14744195615489694,0,45,6.0555555555555545,218.0,36.0,2.0275875100994063,0.7862912744358594,25.0,36.0,0.6944444444444444,36.0,19.962564170315602,605.0,16.805555555555557,1,11,0.1625,0.06015586945932781,0.2549019607843137,0.09907741676694744,0.0022205712689339525,0.011249649576458605,0.02657194862269912,0.051575367548856665,0.0,0.0,0.0,0.0,0.1625,0.16774021080099152,0.2549019607843137,0.2747883443117722,0.0022205712689339525,3.4530041402204795e-05,0.02657194862269912,8.86103667532189e-11,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,1,46,3.978260869565217,0,0.14744195615489694,0,45,6.0555555555555545,218.0,36.0,2.0275875100994063,0.7862912744358594,25.0,36.0,0.6944444444444444,36.0,19.962564170315602,605.0,16.805555555555557,11,0.1625,0.1184652278177458,0.2549019607843137,0.18883792048929665,0.002220571268933952,0.0112496495764586,0.02657194862269912,0.05376805408448588,0.002489273563251414,0.01994418357820513,0.13117799507406594,0.3562735621722455,0.1625,0.16774021080099155,0.2549019607843137,0.27511998339888843,0.002220571268933952,2.7466930661716845e-05,0.02657194862269912,1.2350000110757594e-08,0.0,0.0,0.1129561178956946,0.5205700918722512,11_255
11_246,1,78,3.9230769230769234,1,0.4193139346887675,1,75,6.5625,105.0,16.0,3.285701345730213,1.2041594578792296,14.0,16.0,0.875,16.0,63.073997547853786,1537.0,96.0625,1,11,0.475,0.07184607890891379,0.5490196078431373,0.08864821500200562,0.0846410292447668,0.2729386917353546,0.1069392528523662,0.31352727025033783,0.0,0.6231752714081682,0.0,0.0,0.475,0.483384512990338,0.5490196078431373,0.5899194958920687,0.0846410292447668,0.03276320069019113,0.1069392528523662,4.966228811157901e-13,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,1,78,3.9230769230769234,1,0.4193139346887675,1,75,6.5625,105.0,16.0,3.285701345730213,1.2041594578792296,14.0,16.0,0.875,16.0,63.073997547853786,1537.0,96.0625,11,0.475,0.14148681055155876,0.5490196078431373,0.16896024464831805,0.08464102924476681,0.2729386917353548,0.1069392528523662,0.3197073197654571,0.6076736619722048,0.16338425611529184,0.7222366869982869,3.6040678376028565,0.475,0.4833845129903378,0.5490196078431373,0.5906314633649965,0.08464102924476681,0.043119950655444494,0.1069392528523662,1.2455948188457869e-10,0.31935046335665035,0.0,0.8343084800909458,0.6564944231835189,11_246
11_114,11,122,1.5737704918032789,36,0.7916718661067103,71,4,4.3023255813953485,370.0,86.0,4.32793869544997,3.480019183241935,298.0,86.0,3.4651162790697674,86.0,102.39464439654249,7676.0,89.25581395348837,1,11,0.8,0.2601071602532879,0.8431372549019608,0.255515443241075,0.3364088371783753,0.2687664220996445,0.5482027725801965,0.5350781237973689,0.0,0.0,0.0,0.0,0.8,0.5427326243406227,0.8431372549019608,0.5961325206792889,0.3364088371783753,0.2158077373593207,0.5482027725801965,0.0047507813386245285,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,11,122,1.5737704918032789,36,0.7916718661067103,71,4,4.3023255813953485,370.0,86.0,4.32793869544997,3.480019183241935,298.0,86.0,3.4651162790697674,86.0,102.39464439654249,7676.0,89.25581395348837,11,0.8,0.5122302158273381,0.8431372549019608,0.5045871559633027,0.3364088371783753,0.26876642209964463,0.5482027725801963,0.4798530408022118,3.062964311385892,5.004203046960464,1.1168725560427886,0.7817080089195207,0.8,0.5427326243406227,0.8431372549019608,0.5794969704284676,0.3364088371783753,0.25241404918472754,0.5482027725801963,1.0,0.7546968422267649,0.8359455529557348,0.2826113682148374,0.12949054397893411,11_114
11_24,107,278,3.3884892086330933,24,0.7211181787203547,5,142,5.131147540983607,313.0,61.0,4.391185906016982,1.6762565631709752,56.0,61.0,0.918032786885246,61.0,31.875740642847106,2461.0,40.34426229508197,1,11,0.8625,0.2722844617632733,0.9477124183006536,0.29482551143200963,0.4437131091716992,0.5836888763345366,0.7734917591904514,0.6038277806833554,0.0,0.0,0.0,0.0,0.8625,0.8653968111077116,0.9477124183006536,0.9851094095932,0.4437131091716992,1.824150817647989e-05,0.7734917591904514,7.719318890107923e-10,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,107,278,3.3884892086330933,24,0.7211181787203547,5,142,5.131147540983607,313.0,61.0,4.391185906016982,1.6762565631709752,56.0,61.0,0.918032786885246,61.0,31.875740642847106,2461.0,40.34426229508197,11,0.8625,0.53621103117506,0.9477124183006536,0.591743119266055,0.44371310917169904,0.5836888763345369,0.7734917591904511,0.6725316330281216,4.347358938692642,0.8747564364743762,3.046358081872248,0.17531304702098233,0.8625,0.8653968111077116,0.9477124183006536,0.9897024114731442,0.44371310917169904,2.180343990830943e-05,0.7734917591904511,1.9561589809259164e-08,0.6395367464090034,0.5814249748014081,1.1613280017039749,0.30803399973566536,11_24
11_465,5,12,3.4166666666666665,1,0.6685579234215215,0,6,3.6666666666666665,11.0,3.0,6.350852961085884,1.5275252316519463,4.0,3.0,1.3333333333333333,3.0,7.937253933193773,60.0,20.0,1,11,0.06666666666666668,0.00438382854359474,0.1045751633986928,0.007220216606498195,4.0169715509793187e-05,0.0024717862655122785,0.0008626685571004218,0.009574669912265372,0.0,0.0,0.0,0.0,0.06666666666666668,0.06181042611876957,0.1045751633986928,0.1012564880732904,4.0169715509793187e-05,1.963976090736448e-05,0.0008626685571004218,1.5466784174708536e-18,0.0,0.0,0.0,0.0,3492.0,12685.0,3.205597162002365,1329.0,0.99604241321479,1309.0,6555.0,6.282558139534882,16209.0,2580.0,5.5351467900069915,2.6696778317487797,4383.0,2580.0,1.6988372093023256,2580.0,107.18451933803185,213478.0,82.74341085271318,5,12,3.4166666666666665,1,0.6685579234215215,0,6,3.6666666666666665,11.0,3.0,6.350852961085884,1.5275252316519463,4.0,3.0,1.3333333333333333,3.0,7.937253933193773,60.0,20.0,11,0.06666666666666668,0.008633093525179856,0.1045751633986928,0.013761467889908258,4.016971550979318e-05,0.002471786265512279,0.0008626685571004219,0.010127708269127416,0.00477048248080783,0.25279177735051617,0.011855925192953523,0.08692786096996072,0.06666666666666668,0.06181042611876957,0.1045751633986928,0.1013786934359426,4.016971550979318e-05,1.1233872923244724e-05,0.0008626685571004219,1.345711207571445e-15,0.029414308748720294,0.19392663288669548,0.0,0.3647469321843338,11_465
